country_code,indicator_code,year,value,country_name,indicator_name
EUU,NY.GDP.MKTP.CD,2024,19501078750999.4,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2023,18659279022583.3,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2022,17023620598906.4,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2021,17495257191725.6,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2020,15504058553907.7,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2019,15809077129406.2,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2018,16092407006604.4,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2017,14871316217995.7,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2016,13988150566298.6,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2015,13656255577702.6,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2014,15763599531004.8,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2013,15398511081475.3,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2012,14731878294328.4,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2011,15874716537128.7,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2010,14641776061063.4,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2009,14844850799682.2,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2008,16360464416206.0,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2007,14779905573599.5,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2006,12754718274523.8,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2005,11940626626680.2,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2004,11434848361291.9,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2003,9944006859363.36,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2002,8089955515956.84,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2001,7398267811404.69,EU(欧州連合),GDP(名目・米ドル)
EUU,NY.GDP.MKTP.CD,2000,7279892216791.94,EU(欧州連合),GDP(名目・米ドル)
